[2025-12-10 23:40:57,428][DEBUG   ][ghost.trace_var_usage] Checking same usages of local_20[12] in 0x00010460 FUN_00010460() <=> UnnamedReturn
[2025-12-10 23:40:57,430][INFO    ][ghost.trace_var_usage] Processing pcode op: (register, 0x20, 4) CALL (ram, 0x10334, 8) , (unique, 0x10000027, 4)
[2025-12-10 23:40:57,430][INFO    ][ghost.trace_var_usage] Processing pcode op: (unique, 0x10000027, 4) COPY (const, 0x10544, 4)
[2025-12-10 23:40:57,430][INFO    ][ghost.get_symbol] (const, 0x10544, 4)no high no sym
[2025-12-10 23:40:57,430][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (unique, 0x10000027, 4) COPY (const, 0x10544, 4), in_vars: [], consts: [(const, 0x10544, 4)]
[2025-12-10 23:40:57,430][INFO    ][ghost.trace_var_usage] Processing pcode op: (register, 0x20, 4) CALL (ram, 0x10358, 8) , (register, 0x20, 4) , (const, 0x0, 4) , (const, 0xa, 4)
[2025-12-10 23:40:57,431][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xfffffffffffffff4, 4) INDIRECT (register, 0x20, 4) , (const, 0x3e, 4)
[2025-12-10 23:40:57,433][INFO    ][ghost.trace_var_usage] Processing pcode op: (unique, 0x1000002f, 4) INT_ADD (register, 0x20, 4) , (const, 0xb, 4)
[2025-12-10 23:40:57,434][INFO    ][ghost.get_symbol] (register, 0x20, 4).gethigh and sym local_10
[2025-12-10 23:40:57,434][INFO    ][ghost.get_symbol] (const, 0xb, 4)no high no sym
[2025-12-10 23:40:57,434][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (unique, 0x1000002f, 4) INT_ADD (register, 0x20, 4) , (const, 0xb, 4), in_vars: [(register, 0x20, 4)], consts: [(const, 0xb, 4)]
[2025-12-10 23:40:57,434][INFO    ][ghost.get_symbol] (register, 0x20, 4).gethigh and sym local_10
[2025-12-10 23:40:57,434][INFO    ][ghost.get_symbol] (unique, 0x1000002f, 4)no high no sym
[2025-12-10 23:40:57,434][INFO    ][ghost.trace_var_usage] Processing pcode op: (register, 0x2c, 4) CAST (unique, 0x1000002f, 4)
[2025-12-10 23:40:57,436][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe2, 2) PIECE (stack, 0xffffffffffffffe3, 1) , (stack, 0xffffffffffffffe2, 1)
[2025-12-10 23:40:57,436][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe1, 3) PIECE (stack, 0xffffffffffffffe2, 2) , (stack, 0xffffffffffffffe1, 1)
[2025-12-10 23:40:57,436][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe0, 4) PIECE (stack, 0xffffffffffffffe1, 3) , (stack, 0xffffffffffffffe0, 1)
[2025-12-10 23:40:57,437][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe0, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,437][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,437][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe0, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,437][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe1, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,437][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,438][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe1, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,438][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe2, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,440][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,440][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe2, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,440][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe3, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,441][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
[2025-12-10 23:40:57,441][INFO    ][ghost.trace_var_usage] BEGIN Processing pcode op (stack, 0xffffffffffffffe3, 1) COPY (const, 0x0, 1), in_vars: [], consts: [(const, 0x0, 1)]
[2025-12-10 23:40:57,441][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe6, 2) PIECE (stack, 0xffffffffffffffe7, 1) , (stack, 0xffffffffffffffe6, 1)
[2025-12-10 23:40:57,441][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe5, 3) PIECE (stack, 0xffffffffffffffe6, 2) , (stack, 0xffffffffffffffe5, 1)
[2025-12-10 23:40:57,443][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe4, 4) PIECE (stack, 0xffffffffffffffe5, 3) , (stack, 0xffffffffffffffe4, 1)
[2025-12-10 23:40:57,443][INFO    ][ghost.trace_var_usage] Processing pcode op: (stack, 0xffffffffffffffe4, 1) COPY (const, 0x0, 1)
[2025-12-10 23:40:57,443][INFO    ][ghost.get_symbol] (const, 0x0, 1)no high no sym
